,0
541,1788-12-01
542,1789-01-01
543,1789-02-01
544,1789-03-01
545,1789-04-01
546,1789-05-01
547,1789-06-01
548,1789-07-01
549,1789-08-01
550,1789-09-01
551,1789-10-01
552,1789-11-01
553,1789-12-01
554,1790-01-01
555,1790-02-01
556,1790-03-01
557,1790-04-01
558,1790-05-01
559,1790-06-01
560,1790-07-01
561,1790-08-01
562,1790-09-01
563,1790-10-01
564,1790-11-01
565,1790-12-01
566,1791-01-01
567,1791-02-01
568,1791-03-01
569,1791-04-01
570,1791-05-01
571,1791-06-01
572,1791-07-01
573,1791-08-01
574,1791-09-01
575,1791-10-01
576,1791-11-01
577,1791-12-01
578,1792-01-01
579,1792-02-01
580,1792-03-01
581,1792-04-01
582,1792-05-01
583,1792-06-01
584,1792-07-01
585,1792-08-01
586,1792-09-01
587,1792-10-01
588,1792-11-01
589,1792-12-01
590,1793-01-01
591,1793-02-01
592,1793-03-01
593,1793-04-01
594,1793-05-01
595,1793-06-01
596,1793-07-01
597,1793-08-01
598,1793-09-01
599,1793-10-01
600,1793-11-01
601,1793-12-01
602,1794-01-01
603,1794-02-01
604,1794-03-01
605,1794-04-01
606,1794-05-01
607,1794-06-01
608,1794-07-01
609,1794-08-01
610,1794-09-01
611,1794-10-01
612,1794-11-01
613,1794-12-01
614,1795-01-01
615,1795-02-01
616,1795-03-01
617,1795-04-01
618,1795-05-01
619,1795-06-01
620,1795-07-01
621,1795-08-01
622,1795-09-01
623,1795-10-01
624,1795-11-01
625,1795-12-01
626,1796-01-01
627,1796-02-01
628,1796-03-01
629,1796-04-01
630,1796-05-01
631,1796-06-01
632,1796-07-01
633,1796-08-01
634,1796-09-01
635,1796-10-01
636,1796-11-01
637,1796-12-01
638,1797-01-01
639,1797-02-01
640,1797-03-01
641,1797-04-01
642,1797-05-01
643,1797-06-01
644,1797-07-01
645,1797-08-01
646,1797-09-01
647,1797-10-01
648,1797-11-01
649,1797-12-01
650,1798-01-01
651,1798-02-01
652,1798-03-01
653,1798-04-01
654,1798-05-01
655,1798-06-01
656,1798-07-01
657,1798-08-01
658,1798-09-01
659,1798-10-01
660,1798-11-01
661,1798-12-01
662,1799-01-01
663,1799-02-01
664,1799-03-01
665,1799-04-01
666,1799-05-01
667,1799-06-01
668,1799-07-01
669,1799-08-01
670,1799-09-01
671,1799-10-01
672,1799-11-01
673,1799-12-01
674,1800-01-01
675,1800-02-01
676,1800-03-01
677,1800-04-01
678,1800-05-01
679,1800-06-01
680,1800-07-01
681,1800-08-01
682,1800-09-01
683,1800-10-01
684,1800-11-01
685,1800-12-01
686,1801-01-01
687,1801-02-01
688,1801-03-01
689,1801-04-01
690,1801-05-01
691,1801-06-01
692,1801-07-01
693,1801-08-01
694,1801-09-01
695,1801-10-01
696,1801-11-01
697,1801-12-01
698,1802-01-01
699,1802-02-01
700,1802-03-01
701,1802-04-01
702,1802-05-01
703,1802-06-01
704,1802-07-01
705,1802-08-01
706,1802-09-01
707,1802-10-01
708,1802-11-01
709,1802-12-01
710,1803-01-01
711,1803-02-01
712,1803-03-01
713,1803-04-01
714,1803-05-01
715,1803-06-01
716,1803-07-01
717,1803-08-01
718,1803-09-01
719,1803-10-01
720,1803-11-01
721,1803-12-01
722,1804-01-01
723,1804-02-01
724,1804-03-01
725,1804-04-01
726,1804-05-01
727,1804-06-01
728,1804-07-01
729,1804-08-01
730,1804-09-01
731,1804-10-01
732,1804-11-01
733,1804-12-01
734,1805-01-01
735,1805-02-01
736,1805-03-01
737,1805-04-01
738,1805-05-01
739,1805-06-01
740,1805-07-01
741,1805-08-01
742,1805-09-01
743,1805-10-01
744,1805-11-01
745,1805-12-01
746,1806-01-01
747,1806-02-01
748,1806-03-01
749,1806-04-01
750,1806-05-01
751,1806-06-01
752,1806-07-01
753,1806-08-01
754,1806-09-01
755,1806-10-01
756,1806-11-01
757,1806-12-01
758,1807-01-01
759,1807-02-01
760,1807-03-01
761,1807-04-01
762,1807-05-01
763,1807-06-01
764,1807-07-01
765,1807-08-01
766,1807-09-01
767,1807-10-01
768,1807-11-01
769,1807-12-01
770,1808-01-01
771,1808-02-01
772,1808-03-01
773,1808-04-01
774,1808-05-01
775,1808-06-01
776,1808-07-01
777,1808-08-01
778,1808-09-01
779,1808-10-01
780,1808-11-01
781,1808-12-01
782,1809-01-01
783,1809-02-01
784,1809-03-01
785,1809-04-01
786,1809-05-01
787,1809-06-01
788,1809-07-01
789,1809-08-01
790,1809-09-01
791,1809-10-01
792,1809-11-01
793,1809-12-01
794,1810-01-01
795,1810-02-01
796,1810-03-01
797,1810-04-01
798,1810-05-01
799,1810-06-01
800,1810-07-01
801,1810-08-01
802,1810-09-01
803,1810-10-01
804,1810-11-01
805,1810-12-01
806,1811-01-01
807,1811-02-01
808,1811-03-01
809,1811-04-01
810,1811-05-01
811,1811-06-01
812,1811-07-01
813,1811-08-01
814,1811-09-01
815,1811-10-01
816,1811-11-01
817,1811-12-01
818,1812-01-01
819,1812-02-01
820,1812-03-01
821,1812-04-01
822,1812-05-01
823,1812-06-01
824,1812-07-01
825,1812-08-01
826,1812-09-01
827,1812-10-01
828,1812-11-01
829,1812-12-01
830,1813-01-01
831,1813-02-01
832,1813-03-01
833,1813-04-01
834,1813-05-01
835,1813-06-01
836,1813-07-01
837,1813-08-01
838,1813-09-01
839,1813-10-01
840,1813-11-01
841,1813-12-01
842,1814-01-01
843,1814-02-01
844,1814-03-01
845,1814-04-01
846,1814-05-01
847,1814-06-01
848,1814-07-01
849,1814-08-01
850,1814-09-01
851,1814-10-01
852,1814-11-01
853,1814-12-01
854,1815-01-01
855,1815-02-01
856,1815-03-01
857,1815-04-01
858,1815-05-01
859,1815-06-01
860,1815-07-01
861,1815-08-01
862,1815-09-01
863,1815-10-01
864,1815-11-01
865,1815-12-01
866,1816-01-01
867,1816-02-01
868,1816-03-01
869,1816-04-01
870,1816-05-01
871,1816-06-01
872,1816-07-01
873,1816-08-01
874,1816-09-01
875,1816-10-01
876,1816-11-01
877,1816-12-01
878,1817-01-01
879,1817-02-01
880,1817-03-01
881,1817-04-01
882,1817-05-01
883,1817-06-01
884,1817-07-01
885,1817-08-01
886,1817-09-01
887,1817-10-01
888,1817-11-01
889,1817-12-01
890,1818-01-01
891,1818-02-01
892,1818-03-01
893,1818-04-01
894,1818-05-01
895,1818-06-01
896,1818-07-01
897,1818-08-01
898,1818-09-01
899,1818-10-01
900,1818-11-01
901,1818-12-01
902,1819-01-01
903,1819-02-01
904,1819-03-01
905,1819-04-01
906,1819-05-01
907,1819-06-01
908,1819-07-01
909,1819-08-01
910,1819-09-01
911,1819-10-01
912,1819-11-01
913,1819-12-01
914,1820-01-01
915,1820-02-01
916,1820-03-01
917,1820-04-01
918,1820-05-01
919,1820-06-01
920,1820-07-01
921,1820-08-01
922,1820-09-01
923,1820-10-01
